Board 0x64000000, Board number = 0
/* out0037_had-eta17-phi1*/	2, (34,3,1,0), 1, (34,3,1,1), 4, 
/* out0038_had-eta18-phi1*/	2, (34,3,1,0), 2, (34,3,1,1), 2, 
/* out0039_had-eta19-phi1*/	0, 
/* out0040_had-eta0-phi2*/	0, 
/* out0041_had-eta1-phi2*/	1, (47,4,1,0), 2, 
/* out0042_had-eta2-phi2*/	2, (47,4,1,0), 14, (47,4,1,1), 11, 
/* out0043_had-eta3-phi2*/	2, (47,3,1,0), 13, (47,4,1,1), 5, 
/* out0044_had-eta4-phi2*/	5, (34,10,3,0), 2, (34,10,3,2), 10, (34,10,2,0), 3, (47,3,1,0), 3, (47,3,1,1), 13, 
/* out0045_had-eta5-phi2*/	7, (34,9,3,2), 4, (34,10,3,0), 4, (34,10,3,1), 15, (34,10,3,2), 6, (34,9,2,0), 5, (47,2,1,0), 15, (47,3,1,1), 3, 
/* out0046_had-eta6-phi2*/	7, (34,9,3,1), 9, (34,9,3,2), 9, (34,8,2,0), 3, (34,8,2,2), 1, (34,9,2,0), 4, (47,2,1,0), 1, (47,2,1,1), 15, 
/* out0047_had-eta7-phi2*/	7, (34,8,3,2), 6, (34,9,3,1), 1, (34,8,2,0), 12, (34,8,2,1), 2, (47,1,1,0), 16, (47,1,1,1), 1, (47,2,1,1), 1, 
/* out0048_had-eta8-phi2*/	6, (34,8,3,1), 3, (34,7,2,0), 8, (34,7,2,2), 5, (34,8,2,1), 1, (47,1,1,1), 15, (47,1,1,2), 1, 
/* out0049_had-eta9-phi2*/	4, (34,6,2,2), 1, (34,7,2,0), 6, (34,7,2,1), 8, (47,1,1,2), 15, 
/* out0050_had-eta10-phi2*/	3, (34,6,2,0), 3, (34,6,2,2), 9, (47,0,1,0), 14, 
/* out0051_had-eta11-phi2*/	4, (34,6,2,0), 1, (34,6,2,1), 10, (47,0,1,0), 2, (47,0,1,1), 16, 
/* out0052_had-eta12-phi2*/	3, (34,5,2,2), 7, (34,6,2,1), 1, (34,5,1,0), 1, 
/* out0053_had-eta13-phi2*/	2, (34,5,2,1), 4, (34,5,2,2), 4, 
/* out0054_had-eta14-phi2*/	2, (34,5,2,1), 4, (34,4,1,0), 2, 
/* out0055_had-eta15-phi2*/	2, (34,4,2,2), 2, (34,4,1,0), 3, 
/* out0056_had-eta16-phi2*/	5, (34,4,2,1), 1, (34,4,2,2), 2, (34,3,1,1), 1, (34,4,1,0), 1, (34,4,1,1), 1, 
/* out0057_had-eta17-phi2*/	2, (34,4,2,1), 1, (34,3,1,0), 6, 
/* out0058_had-eta18-phi2*/	1, (34,3,1,0), 5, 
/* out0059_had-eta19-phi2*/	0, 
/* out0060_had-eta0-phi3*/	0, 
/* out0061_had-eta1-phi3*/	1, (47,4,1,3), 2, 
/* out0062_had-eta2-phi3*/	2, (47,4,1,2), 11, (47,4,1,3), 14, 
/* out0063_had-eta3-phi3*/	2, (47,3,1,3), 13, (47,4,1,2), 5, 
/* out0064_had-eta4-phi3*/	4, (34,10,4,2), 3, (34,10,3,0), 2, (47,3,1,2), 13, (47,3,1,3), 3, 
/* out0065_had-eta5-phi3*/	8, (34,10,4,1), 9, (34,10,4,2), 12, (34,9,3,0), 3, (34,9,3,2), 2, (34,10,3,0), 8, (34,10,3,1), 1, (47,2,1,3), 15, (47,3,1,2), 3, 
/* out0066_had-eta6-phi3*/	8, (34,9,4,1), 1, (34,9,4,2), 5, (34,10,4,1), 1, (34,9,3,0), 13, (34,9,3,1), 5, (34,9,3,2), 1, (47,2,1,2), 15, (47,2,1,3), 1, 
/* out0067_had-eta7-phi3*/	8, (34,9,4,1), 1, (34,8,3,0), 9, (34,8,3,1), 1, (34,8,3,2), 10, (34,9,3,1), 1, (47,1,1,4), 1, (47,1,1,5), 16, (47,2,1,2), 1, 
/* out0068_had-eta8-phi3*/	6, (34,7,3,2), 5, (34,8,3,0), 1, (34,8,3,1), 11, (34,7,2,0), 1, (47,1,1,3), 1, (47,1,1,4), 15, 
/* out0069_had-eta9-phi3*/	4, (34,7,3,1), 5, (34,7,3,2), 9, (34,7,2,0), 1, (47,1,1,3), 15, 
/* out0070_had-eta10-phi3*/	4, (34,6,3,2), 1, (34,7,3,1), 4, (34,6,2,0), 7, (47,0,1,3), 14, 
/* out0071_had-eta11-phi3*/	6, (34,6,3,1), 1, (34,6,3,2), 3, (34,6,2,0), 5, (34,6,2,1), 2, (47,0,1,2), 16, (47,0,1,3), 2, 
/* out0072_had-eta12-phi3*/	2, (34,5,2,0), 5, (34,5,2,2), 3, 
/* out0073_had-eta13-phi3*/	3, (34,5,2,0), 4, (34,5,2,1), 3, (34,5,2,2), 1, 
/* out0074_had-eta14-phi3*/	2, (34,4,2,2), 2, (34,5,2,1), 4, 
/* out0075_had-eta15-phi3*/	1, (34,4,2,2), 5, 
/* out0076_had-eta16-phi3*/	2, (34,4,2,1), 2, (34,4,2,2), 2, 
/* out0077_had-eta17-phi3*/	1, (34,4,2,1), 3, 
/* out0078_had-eta18-phi3*/	2, (34,4,2,1), 1, (34,3,1,0), 2, 
/* out0079_had-eta19-phi3*/	0, 
/* out0080_had-eta0-phi4*/	0, 
/* out0081_had-eta1-phi4*/	1, (47,4,2,0), 2, 
/* out0082_had-eta2-phi4*/	2, (47,4,2,0), 14, (47,4,2,1), 11, 
/* out0083_had-eta3-phi4*/	2, (47,3,2,0), 13, (47,4,2,1), 5, 
/* out0084_had-eta4-phi4*/	4, (34,10,4,0), 2, (34,10,4,2), 1, (47,3,2,0), 3, (47,3,2,1), 13, 
/* out0085_had-eta5-phi4*/	7, (34,9,4,2), 1, (34,10,4,0), 14, (34,10,4,1), 5, (34,10,5,1), 2, (34,10,5,2), 8, (47,2,2,0), 15, (47,3,2,1), 3, 
/* out0086_had-eta6-phi4*/	7, (34,9,4,0), 11, (34,9,4,1), 5, (34,9,4,2), 10, (34,10,4,1), 1, (34,10,5,1), 1, (47,2,2,0), 1, (47,2,2,1), 15, 
/* out0087_had-eta7-phi4*/	6, (34,8,4,2), 9, (34,9,4,1), 9, (34,8,3,0), 4, (47,1,2,0), 16, (47,1,2,1), 1, (47,2,2,1), 1, 
/* out0088_had-eta8-phi4*/	8, (34,8,4,1), 7, (34,8,4,2), 4, (34,7,3,0), 4, (34,7,3,2), 1, (34,8,3,0), 2, (34,8,3,1), 1, (47,1,2,1), 15, (47,1,2,2), 1, 
/* out0089_had-eta9-phi4*/	4, (34,7,3,0), 12, (34,7,3,1), 3, (34,7,3,2), 1, (47,1,2,2), 15, 
/* out0090_had-eta10-phi4*/	4, (34,6,3,0), 1, (34,6,3,2), 7, (34,7,3,1), 4, (47,0,2,0), 14, 
/* out0091_had-eta11-phi4*/	5, (34,6,3,0), 1, (34,6,3,1), 5, (34,6,3,2), 5, (47,0,2,0), 2, (47,0,2,1), 16, 
/* out0092_had-eta12-phi4*/	3, (34,5,3,2), 1, (34,6,3,1), 5, (34,5,2,0), 3, 
/* out0093_had-eta13-phi4*/	2, (34,5,3,2), 3, (34,5,2,0), 4, 
/* out0094_had-eta14-phi4*/	5, (34,5,3,1), 1, (34,5,3,2), 1, (34,4,2,0), 2, (34,4,2,2), 1, (34,5,2,1), 1, 
/* out0095_had-eta15-phi4*/	2, (34,4,2,0), 4, (34,4,2,2), 2, 
/* out0096_had-eta16-phi4*/	2, (34,4,2,0), 2, (34,4,2,1), 2, 
/* out0097_had-eta17-phi4*/	1, (34,4,2,1), 4, 
/* out0098_had-eta18-phi4*/	0, 
/* out0099_had-eta19-phi4*/	0, 
/* out0100_had-eta0-phi5*/	0, 
/* out0101_had-eta1-phi5*/	1, (47,4,2,3), 2, 
/* out0102_had-eta2-phi5*/	2, (47,4,2,2), 11, (47,4,2,3), 14, 
/* out0103_had-eta3-phi5*/	2, (47,3,2,3), 13, (47,4,2,2), 5, 
/* out0104_had-eta4-phi5*/	4, (34,10,5,0), 1, (34,10,5,2), 1, (47,3,2,2), 13, (47,3,2,3), 3, 
/* out0105_had-eta5-phi5*/	5, (34,10,5,0), 15, (34,10,5,1), 8, (34,10,5,2), 7, (47,2,2,3), 15, (47,3,2,2), 3, 
/* out0106_had-eta6-phi5*/	6, (34,9,5,1), 1, (34,9,5,2), 15, (34,9,4,0), 4, (34,10,5,1), 5, (47,2,2,2), 15, (47,2,2,3), 1, 
/* out0107_had-eta7-phi5*/	8, (34,9,5,1), 7, (34,9,5,2), 1, (34,8,4,0), 10, (34,8,4,2), 3, (34,9,4,0), 1, (47,1,2,4), 1, (47,1,2,5), 16, (47,2,2,2), 1, 
/* out0108_had-eta8-phi5*/	5, (34,7,4,2), 2, (34,8,4,0), 6, (34,8,4,1), 9, (47,1,2,3), 1, (47,1,2,4), 15, 
/* out0109_had-eta9-phi5*/	3, (34,7,4,1), 1, (34,7,4,2), 13, (47,1,2,3), 15, 
/* out0110_had-eta10-phi5*/	4, (34,7,4,1), 6, (34,7,4,2), 1, (34,6,3,0), 6, (47,0,2,3), 14, 
/* out0111_had-eta11-phi5*/	4, (34,6,3,0), 8, (34,6,3,1), 2, (47,0,2,2), 16, (47,0,2,3), 2, 
/* out0112_had-eta12-phi5*/	2, (34,5,3,2), 5, (34,6,3,1), 3, 
/* out0113_had-eta13-phi5*/	2, (34,5,3,1), 1, (34,5,3,2), 6, 
/* out0114_had-eta14-phi5*/	1, (34,5,3,1), 5, 
/* out0115_had-eta15-phi5*/	1, (34,4,2,0), 4, 
/* out0116_had-eta16-phi5*/	1, (34,4,2,0), 4, 
/* out0117_had-eta17-phi5*/	1, (34,4,2,1), 2, 
/* out0118_had-eta18-phi5*/	0, 
/* out0119_had-eta19-phi5*/	0, 
/* out0120_had-eta0-phi6*/	0, 
/* out0121_had-eta1-phi6*/	1, (47,4,3,0), 2, 
/* out0122_had-eta2-phi6*/	2, (47,4,3,0), 14, (47,4,3,1), 11, 
/* out0123_had-eta3-phi6*/	2, (47,3,3,0), 13, (47,4,3,1), 5, 
/* out0124_had-eta4-phi6*/	4, (34,10,6,0), 1, (34,10,6,2), 1, (47,3,3,0), 3, (47,3,3,1), 13, 
/* out0125_had-eta5-phi6*/	5, (34,10,6,0), 7, (34,10,6,1), 8, (34,10,6,2), 15, (47,2,3,0), 15, (47,3,3,1), 3, 
/* out0126_had-eta6-phi6*/	6, (34,9,5,0), 15, (34,9,5,1), 1, (34,9,6,2), 4, (34,10,6,1), 5, (47,2,3,0), 1, (47,2,3,1), 15, 
/* out0127_had-eta7-phi6*/	8, (34,8,5,0), 3, (34,8,5,2), 10, (34,9,5,0), 1, (34,9,5,1), 7, (34,9,6,2), 1, (47,1,3,0), 16, (47,1,3,1), 1, (47,2,3,1), 1, 
/* out0128_had-eta8-phi6*/	5, (34,7,4,0), 3, (34,8,5,1), 9, (34,8,5,2), 6, (47,1,3,1), 15, (47,1,3,2), 1, 
/* out0129_had-eta9-phi6*/	3, (34,7,4,0), 13, (34,7,4,1), 2, (47,1,3,2), 15, 
/* out0130_had-eta10-phi6*/	3, (34,6,4,2), 6, (34,7,4,1), 7, (47,0,3,0), 14, 
/* out0131_had-eta11-phi6*/	4, (34,6,4,1), 2, (34,6,4,2), 8, (47,0,3,0), 2, (47,0,3,1), 16, 
/* out0132_had-eta12-phi6*/	2, (34,5,3,0), 5, (34,6,4,1), 3, 
/* out0133_had-eta13-phi6*/	2, (34,5,3,0), 6, (34,5,3,1), 1, 
/* out0134_had-eta14-phi6*/	1, (34,5,3,1), 6, 
/* out0135_had-eta15-phi6*/	2, (34,4,3,2), 4, (34,5,3,1), 1, 
/* out0136_had-eta16-phi6*/	1, (34,4,3,2), 4, 
/* out0137_had-eta17-phi6*/	1, (34,4,3,1), 2, 
/* out0138_had-eta18-phi6*/	0, 
/* out0139_had-eta19-phi6*/	0, 
/* out0140_had-eta0-phi7*/	0, 
/* out0141_had-eta1-phi7*/	1, (47,4,3,3), 2, 
/* out0142_had-eta2-phi7*/	2, (47,4,3,2), 11, (47,4,3,3), 14, 
/* out0143_had-eta3-phi7*/	2, (47,3,3,3), 13, (47,4,3,2), 5, 
/* out0144_had-eta4-phi7*/	4, (34,10,7,0), 1, (34,10,7,2), 2, (47,3,3,2), 13, (47,3,3,3), 3, 
/* out0145_had-eta5-phi7*/	7, (34,9,6,0), 1, (34,10,6,0), 8, (34,10,6,1), 2, (34,10,7,1), 5, (34,10,7,2), 14, (47,2,3,3), 15, (47,3,3,2), 3, 
/* out0146_had-eta6-phi7*/	7, (34,9,6,0), 10, (34,9,6,1), 5, (34,9,6,2), 11, (34,10,6,1), 1, (34,10,7,1), 1, (47,2,3,2), 15, (47,2,3,3), 1, 
/* out0147_had-eta7-phi7*/	6, (34,8,6,2), 4, (34,8,5,0), 9, (34,9,6,1), 9, (47,1,3,4), 1, (47,1,3,5), 16, (47,2,3,2), 1, 
/* out0148_had-eta8-phi7*/	8, (34,7,5,0), 1, (34,7,5,2), 4, (34,8,6,1), 1, (34,8,6,2), 2, (34,8,5,0), 4, (34,8,5,1), 7, (47,1,3,3), 1, (47,1,3,4), 15, 
/* out0149_had-eta9-phi7*/	4, (34,7,5,0), 1, (34,7,5,1), 3, (34,7,5,2), 12, (47,1,3,3), 15, 
/* out0150_had-eta10-phi7*/	4, (34,6,4,0), 7, (34,6,4,2), 1, (34,7,5,1), 4, (47,0,3,3), 14, 
/* out0151_had-eta11-phi7*/	5, (34,6,4,0), 5, (34,6,4,1), 5, (34,6,4,2), 1, (47,0,3,2), 16, (47,0,3,3), 2, 
/* out0152_had-eta12-phi7*/	3, (34,5,4,2), 3, (34,5,3,0), 1, (34,6,4,1), 5, 
/* out0153_had-eta13-phi7*/	2, (34,5,4,2), 4, (34,5,3,0), 3, 
/* out0154_had-eta14-phi7*/	5, (34,4,3,0), 1, (34,4,3,2), 2, (34,5,4,1), 1, (34,5,3,0), 1, (34,5,3,1), 1, 
/* out0155_had-eta15-phi7*/	2, (34,4,3,0), 2, (34,4,3,2), 4, 
/* out0156_had-eta16-phi7*/	2, (34,4,3,1), 2, (34,4,3,2), 2, 
/* out0157_had-eta17-phi7*/	1, (34,4,3,1), 4, 
/* out0158_had-eta18-phi7*/	0, 
/* out0159_had-eta19-phi7*/	0, 
/* out0160_had-eta0-phi8*/	0, 
/* out0161_had-eta1-phi8*/	1, (47,4,4,0), 2, 
/* out0162_had-eta2-phi8*/	2, (47,4,4,0), 14, (47,4,4,1), 11, 
/* out0163_had-eta3-phi8*/	2, (47,3,4,0), 13, (47,4,4,1), 5, 
/* out0164_had-eta4-phi8*/	4, (34,10,8,2), 2, (34,10,7,0), 3, (47,3,4,0), 3, (47,3,4,1), 13, 
/* out0165_had-eta5-phi8*/	8, (34,9,7,0), 2, (34,9,7,2), 3, (34,10,8,1), 1, (34,10,8,2), 8, (34,10,7,0), 12, (34,10,7,1), 9, (47,2,4,0), 15, (47,3,4,1), 3, 
/* out0166_had-eta6-phi8*/	8, (34,9,7,0), 1, (34,9,7,1), 5, (34,9,7,2), 13, (34,9,6,0), 5, (34,9,6,1), 1, (34,10,7,1), 1, (47,2,4,0), 1, (47,2,4,1), 15, 
/* out0167_had-eta7-phi8*/	8, (34,8,6,0), 10, (34,8,6,1), 1, (34,8,6,2), 9, (34,9,7,1), 1, (34,9,6,1), 1, (47,1,4,0), 16, (47,1,4,1), 1, (47,2,4,1), 1, 
/* out0168_had-eta8-phi8*/	6, (34,7,6,2), 1, (34,7,5,0), 5, (34,8,6,1), 11, (34,8,6,2), 1, (47,1,4,1), 15, (47,1,4,2), 1, 
/* out0169_had-eta9-phi8*/	4, (34,7,6,2), 1, (34,7,5,0), 9, (34,7,5,1), 5, (47,1,4,2), 15, 
/* out0170_had-eta10-phi8*/	4, (34,6,5,2), 7, (34,6,4,0), 1, (34,7,5,1), 4, (47,0,4,0), 14, 
/* out0171_had-eta11-phi8*/	6, (34,6,5,1), 2, (34,6,5,2), 5, (34,6,4,0), 3, (34,6,4,1), 1, (47,0,4,0), 2, (47,0,4,1), 16, 
/* out0172_had-eta12-phi8*/	2, (34,5,4,0), 3, (34,5,4,2), 5, 
/* out0173_had-eta13-phi8*/	3, (34,5,4,0), 1, (34,5,4,1), 3, (34,5,4,2), 4, 
/* out0174_had-eta14-phi8*/	2, (34,4,3,0), 2, (34,5,4,1), 4, 
/* out0175_had-eta15-phi8*/	1, (34,4,3,0), 5, 
/* out0176_had-eta16-phi8*/	2, (34,4,3,0), 2, (34,4,3,1), 2, 
/* out0177_had-eta17-phi8*/	1, (34,4,3,1), 3, 
/* out0178_had-eta18-phi8*/	2, (34,3,3,1), 2, (34,4,3,1), 1, 
/* out0179_had-eta19-phi8*/	0, 
/* out0180_had-eta0-phi9*/	0, 
/* out0181_had-eta1-phi9*/	1, (47,4,4,3), 2, 
/* out0182_had-eta2-phi9*/	2, (47,4,4,2), 11, (47,4,4,3), 14, 
/* out0183_had-eta3-phi9*/	2, (47,3,4,3), 13, (47,4,4,2), 5, 
/* out0184_had-eta4-phi9*/	5, (34,10,9,1), 3, (34,10,8,0), 10, (34,10,8,2), 2, (47,3,4,2), 13, (47,3,4,3), 3, 
/* out0185_had-eta5-phi9*/	7, (34,9,8,2), 5, (34,9,7,0), 4, (34,10,8,0), 6, (34,10,8,1), 15, (34,10,8,2), 4, (47,2,4,3), 15, (47,3,4,2), 3, 
/* out0186_had-eta6-phi9*/	7, (34,8,7,0), 1, (34,8,7,2), 3, (34,9,8,2), 4, (34,9,7,0), 9, (34,9,7,1), 9, (47,2,4,2), 15, (47,2,4,3), 1, 
/* out0187_had-eta7-phi9*/	7, (34,8,7,1), 2, (34,8,7,2), 12, (34,8,6,0), 6, (34,9,7,1), 1, (47,1,4,4), 1, (47,1,4,5), 16, (47,2,4,2), 1, 
/* out0188_had-eta8-phi9*/	6, (34,7,6,0), 5, (34,7,6,2), 8, (34,8,7,1), 1, (34,8,6,1), 3, (47,1,4,3), 1, (47,1,4,4), 15, 
/* out0189_had-eta9-phi9*/	4, (34,6,5,0), 1, (34,7,6,1), 8, (34,7,6,2), 6, (47,1,4,3), 15, 
/* out0190_had-eta10-phi9*/	3, (34,6,5,0), 9, (34,6,5,2), 3, (47,0,4,3), 14, 
/* out0191_had-eta11-phi9*/	4, (34,6,5,1), 10, (34,6,5,2), 1, (47,0,4,2), 16, (47,0,4,3), 2, 
/* out0192_had-eta12-phi9*/	3, (34,5,5,2), 1, (34,5,4,0), 7, (34,6,5,1), 1, 
/* out0193_had-eta13-phi9*/	2, (34,5,4,0), 4, (34,5,4,1), 4, 
/* out0194_had-eta14-phi9*/	2, (34,4,4,2), 2, (34,5,4,1), 4, 
/* out0195_had-eta15-phi9*/	2, (34,4,4,2), 3, (34,4,3,0), 2, 
/* out0196_had-eta16-phi9*/	3, (34,4,4,2), 1, (34,4,3,0), 2, (34,4,3,1), 1, 
/* out0197_had-eta17-phi9*/	2, (34,3,3,1), 6, (34,4,3,1), 1, 
/* out0198_had-eta18-phi9*/	1, (34,3,3,1), 5, 
/* out0199_had-eta19-phi9*/	0, 
/* out0200_had-eta0-phi10*/	0, 
/* out0201_had-eta1-phi10*/	1, (47,4,5,0), 2, 
/* out0202_had-eta2-phi10*/	2, (47,4,5,0), 14, (47,4,5,1), 11, 
/* out0203_had-eta3-phi10*/	2, (47,3,5,0), 13, (47,4,5,1), 5, 
/* out0204_had-eta4-phi10*/	4, (34,10,9,0), 6, (34,10,9,1), 10, (47,3,5,0), 3, (47,3,5,1), 13, 
/* out0205_had-eta5-phi10*/	7, (34,9,9,2), 2, (34,9,8,0), 15, (34,9,8,2), 5, (34,10,9,0), 9, (34,10,9,1), 3, (47,2,5,0), 15, (47,3,5,1), 3, 
/* out0206_had-eta6-phi10*/	6, (34,8,8,2), 4, (34,8,7,0), 6, (34,9,8,1), 15, (34,9,8,2), 2, (47,2,5,0), 1, (47,2,5,1), 15, 
/* out0207_had-eta7-phi10*/	8, (34,7,7,2), 1, (34,8,8,2), 1, (34,8,7,0), 9, (34,8,7,1), 10, (34,8,7,2), 1, (47,1,5,0), 16, (47,1,5,1), 1, (47,2,5,1), 1, 
/* out0208_had-eta8-phi10*/	5, (34,7,7,2), 7, (34,7,6,0), 9, (34,8,7,1), 3, (47,1,5,1), 15, (47,1,5,2), 1, 
/* out0209_had-eta9-phi10*/	4, (34,6,6,2), 5, (34,7,6,0), 2, (34,7,6,1), 8, (47,1,5,2), 15, 
/* out0210_had-eta10-phi10*/	3, (34,6,6,2), 8, (34,6,5,0), 5, (47,0,5,0), 14, 
/* out0211_had-eta11-phi10*/	6, (34,5,5,0), 1, (34,5,5,2), 4, (34,6,5,0), 1, (34,6,5,1), 3, (47,0,5,0), 2, (47,0,5,1), 16, 
/* out0212_had-eta12-phi10*/	1, (34,5,5,2), 8, 
/* out0213_had-eta13-phi10*/	5, (34,4,4,0), 1, (34,4,4,2), 1, (34,5,5,1), 2, (34,5,5,2), 2, (34,5,4,0), 1, 
/* out0214_had-eta14-phi10*/	2, (34,4,4,0), 2, (34,4,4,2), 4, 
/* out0215_had-eta15-phi10*/	2, (34,4,4,1), 1, (34,4,4,2), 4, 
/* out0216_had-eta16-phi10*/	3, (34,3,3,0), 1, (34,4,4,1), 3, (34,4,4,2), 1, 
/* out0217_had-eta17-phi10*/	2, (34,3,3,0), 3, (34,3,3,1), 1, 
/* out0218_had-eta18-phi10*/	2, (34,3,3,0), 1, (34,3,3,1), 2, 
/* out0219_had-eta19-phi10*/	0, 
/* out0220_had-eta0-phi11*/	0, 
/* out0221_had-eta1-phi11*/	1, (47,4,5,3), 2, 
/* out0222_had-eta2-phi11*/	2, (47,4,5,2), 11, (47,4,5,3), 14, 
/* out0223_had-eta3-phi11*/	2, (47,3,5,3), 13, (47,4,5,2), 5, 
/* out0224_had-eta4-phi11*/	5, (34,9,9,0), 5, (34,9,9,2), 1, (34,10,9,0), 1, (47,3,5,2), 13, (47,3,5,3), 3, 
/* out0225_had-eta5-phi11*/	6, (34,9,9,0), 7, (34,9,9,1), 11, (34,9,9,2), 13, (34,9,8,0), 1, (47,2,5,3), 15, (47,3,5,2), 3, 
/* out0226_had-eta6-phi11*/	7, (34,8,8,0), 12, (34,8,8,1), 3, (34,8,8,2), 9, (34,9,9,1), 1, (34,9,8,1), 1, (47,2,5,2), 15, (47,2,5,3), 1, 
/* out0227_had-eta7-phi11*/	7, (34,7,7,0), 8, (34,7,7,2), 2, (34,8,8,1), 9, (34,8,8,2), 2, (47,1,5,4), 1, (47,1,5,5), 16, (47,2,5,2), 1, 
/* out0228_had-eta8-phi11*/	5, (34,7,7,0), 4, (34,7,7,1), 9, (34,7,7,2), 6, (47,1,5,3), 1, (47,1,5,4), 15, 
/* out0229_had-eta9-phi11*/	4, (34,6,6,0), 10, (34,6,6,2), 1, (34,7,7,1), 3, (47,1,5,3), 15, 
/* out0230_had-eta10-phi11*/	4, (34,6,6,0), 2, (34,6,6,1), 9, (34,6,6,2), 2, (47,0,5,3), 14, 
